"season","week","team","rating"
"2014","1","MIN",1448
"2014","1","BUF",1445
"2014","1","STL",1440
"2014","1","NYG",1394
"2014","1","ATL",1376
"2014","1","CLE",1339
"2014","1","HOU",1320
"2014","1","TB",1315
"2014","1","OAK",1298
"2014","1","WSH",1286
"2014","1","JAX",1232
"2014","10","DEN",1688
"2014","10","NE",1681
"2014","10","SEA",1645
"2014","10","ARI",1624
"2014","10","PHI",1617
"2014","10","KC",1602
"2014","10","NO",1602
"2014","10","IND",1599
"2014","10","SF",1592
"2014","10","PIT",1585
"2014","10","CIN",1576
"2014","10","DET",1569
"2014","10","DAL",1565
"2014","10","GB",1559
"2014","10","MIA",1539
"2014","10","SD",1529
"2014","10","BAL",1511
"2014","10","CAR",1466
"2014","10","CLE",1459
"2014","10","BUF",1425
"2014","10","CHI",1369
"2014","10","MIN",1336
"2014","10","STL",1326
"2014","10","TEN",1300
"2014","10","HOU",1273
"2014","10","NYG",1264
"2014","10","NYJ",1260
"2014","10","ATL",1243
"2014","10","WSH",1211
"2014","10","TB",1130
"2014","10","OAK",1016
"2014","10","JAX",988
"2014","11","NE",1704
"2014","11","DEN",1681
"2014","11","ARI",1642
"2014","11","SEA",1631
"2014","11","KC",1621
"2014","11","CIN",1607
"2014","11","GB",1602
"2014","11","SF",1597
"2014","11","PIT",1589
"2014","11","PHI",1587
"2014","11","NO",1575
"2014","11","DAL",1565
"2014","11","IND",1562
"2014","11","MIA",1556
"2014","11","DET",1544
"2014","11","SD",1531
"2014","11","BAL",1511
"2014","11","CAR",1461
"2014","11","CLE",1443
"2014","11","BUF",1391
"2014","11","CHI",1389
"2014","11","STL",1386
"2014","11","HOU",1319
"2014","11","MIN",1312
"2014","11","TEN",1280
"2014","11","ATL",1262
"2014","11","NYJ",1260
"2014","11","NYG",1235
"2014","11","WSH",1186
"2014","11","TB",1168
"2014","11","JAX",988
"2014","11","OAK",984
"2014","12","NE",1722
"2014","12","DEN",1690
"2014","12","SEA",1660
"2014","12","KC",1619
"2014","12","ARI",1615
"2014","12","CIN",1613
"2014","12","GB",1606
"2014","12","SF",1599
"2014","12","PHI",1594
"2014","12","PIT",1589
"2014","12","DAL",1568
"2014","12","IND",1563
"2014","12","NO",1557
"2014","12","MIA",1539
"2014","12","SD",1539
"2014","12","BAL",1536
"2014","12","DET",1500
"2014","12","CAR",1461
"2014","12","CLE",1448
"2014","12","BUF",1413
"2014","12","CHI",1397
"2014","12","STL",1367
"2014","12","MIN",1292
"2014","12","HOU",1284
"2014","12","ATL",1247
"2014","12","TEN",1235
"2014","12","NYG",1214
"2014","12","NYJ",1213
"2014","12","WSH",1162
"2014","12","TB",1137
"2014","12","OAK",1029
"2014","12","JAX",941
"2014","13","DEN",1710
"2014","13","NE",1709
"2014","13","SEA",1683
"2014","13","GB",1631
"2014","13","PHI",1623
"2014","13","CIN",1614
"2014","13","ARI",1608
"2014","13","KC",1589
"2014","13","PIT",1577
"2014","13","NO",1573
"2014","13","IND",1568
"2014","13","SF",1567
"2014","13","SD",1546
"2014","13","MIA",1542
"2014","13","DAL",1535
"2014","13","BAL",1529
"2014","13","DET",1520
"2014","13","BUF",1445
"2014","13","CAR",1443
"2014","13","CLE",1422
"2014","13","STL",1376
"2014","13","CHI",1362
"2014","13","MIN",1338
"2014","13","HOU",1311
"2014","13","ATL",1300
"2014","13","NYG",1211
"2014","13","TEN",1199
"2014","13","NYJ",1193
"2014","13","TB",1127
"2014","13","WSH",1113
"2014","13","OAK",968
"2014","13","JAX",954
"2014","14","NE",1721
"2014","14","DEN",1717
"2014","14","SEA",1702
"2014","14","GB",1635
"2014","14","ARI",1621
"2014","14","PIT",1611
"2014","14","PHI",1596
"2014","14","CIN",1586
"2014","14","KC",1574
"2014","14","IND",1572
"2014","14","SF",1565
"2014","14","BAL",1558
"2014","14","NO",1549
"2014","14","DAL",1548
"2014","14","DET",1525
"2014","14","MIA",1515
"2014","14","SD",1515
"2014","14","CAR",1493
"2014","14","BUF",1414
"2014","14","CLE",1413
"2014","14","STL",1386
"2014","14","MIN",1349
"2014","14","CHI",1326
"2014","14","HOU",1317
"2014","14","ATL",1271
"2014","14","NYG",1244
"2014","14","NYJ",1167
"2014","14","TEN",1164
"2014","14","TB",1082
"2014","14","WSH",1066
"2014","14","OAK",1034
"2014","14","JAX",913
"2014","15","NE",1735
"2014","15","DEN",1728
"2014","15","SEA",1717
"2014","15","ARI",1628
"2014","15","GB",1624
"2014","15","PIT",1616
"2014","15","CIN",1603
"2014","15","IND",1579
"2014","15","DAL",1577
"2014","15","KC",1576
"2014","15","PHI",1574
"2014","15","NO",1560
"2014","15","BAL",1559
"2014","15","SF",1534
"2014","15","DET",1530
"2014","15","CAR",1495
"2014","15","SD",1479
"2014","15","MIA",1468
"2014","15","BUF",1452
"2014","15","CLE",1367
"2014","15","STL",1358
"2014","15","MIN",1334
"2014","15","HOU",1286
"2014","15","CHI",1286
"2014","15","NYG",1256
"2014","15","ATL",1239
"2014","15","NYJ",1185
"2014","15","TEN",1146
"2014","15","TB",1065
"2014","15","WSH",1032
"2014","15","OAK",989
"2014","15","JAX",880
"2014","16","SEA",1741
"2014","16","NE",1736
"2014","16","DEN",1712
"2014","16","CIN",1636
"2014","16","PIT",1635
"2014","16","GB",1626
"2014","16","DAL",1613
"2014","16","ARI",1587
"2014","16","PHI",1573
"2014","16","KC",1552
"2014","16","NO",1551
"2014","16","BAL",1549
"2014","16","IND",1544
"2014","16","DET",1537
"2014","16","SF",1522
"2014","16","CAR",1505
"2014","16","SD",1495
"2014","16","MIA",1474
"2014","16","BUF",1451
"2014","16","CLE",1346
"2014","16","STL",1340
"2014","16","HOU",1335
"2014","16","MIN",1320
"2014","16","ATL",1297
"2014","16","NYG",1288
"2014","16","CHI",1258
"2014","16","NYJ",1174
"2014","16","TEN",1137
"2014","16","WSH",1068
"2014","16","TB",1021
"2014","16","OAK",1015
"2014","16","JAX",921
"2014","17","SEA",1745
"2014","17","NE",1728
"2014","17","DEN",1713
"2014","17","PIT",1659
"2014","17","GB",1643
"2014","17","DAL",1615
"2014","17","CIN",1612
"2014","17","PHI",1579
"2014","17","ARI",1576
"2014","17","KC",1573
"2014","17","BAL",1559
"2014","17","NO",1552
"2014","17","IND",1548
"2014","17","SF",1538
"2014","17","CAR",1519
"2014","17","DET",1508
