"boxscore.id","game.date","game.time","game.stadium","game.city","espn.id.away","espn.id.home","team.score.away","team.score.home","attendance"
"400554421","November 17, 2014","8:30 PM ET","LP Field","Nashville, TN ","PIT","TEN",27,24,69143
"400554422","December 7, 2014","1:00 PM ET","FirstEnergy Stadium","Cleveland, OH ","IND","CLE",25,24,67431
"400554423","December 14, 2014","4:25 PM ET","CenturyLink Field","Seattle, WA ","SF","SEA",7,17,68526
"400554424","December 7, 2014","1:00 PM ET","Ford Field","Detroit, MI ","TB","DET",17,34,61489
"400554425","December 14, 2014","8:30 PM ET","Lincoln Financial Field","Philadelphia, PA ","DAL","PHI",38,27,69596
"400554426","December 7, 2014","1:00 PM ET","EverBank Field","Jacksonville, FL ","HOU","JAX",27,13,61070
"400554427","December 15, 2014","8:30 PM ET","Soldier Field","Chicago, IL ","NO","CHI",31,15,60996
"400554428","December 7, 2014","4:05 PM ET","Sports Authority Field at Mile High","Denver, CO ","BUF","DEN",17,24,76913
"400554429","December 7, 2014","4:05 PM ET","U of Phoenix Stadium","Glendale, AZ ","KC","ARI",14,17,62387
"400554430","December 7, 2014","4:25 PM ET","Lincoln Financial Field","Philadelphia, PA ","SEA","PHI",24,14,69596
"400554431","December 7, 2014","4:25 PM ET","O.co Coliseum","Oakland, CA ","SF","OAK",13,24,55300
"400554432","December 7, 2014","8:30 PM ET","Qualcomm Stadium","San Diego, CA ","NE","SD",23,14,68815
"400554433","December 8, 2014","8:30 PM ET","Lambeau Field","Green Bay, WI ","ATL","GB",37,43,77512
"400554434","December 21, 2014","1:00 PM ET","Heinz Field","Pittsburgh, PA ","KC","PIT",12,20,60865
"400554435","December 28, 2014","1:00 PM ET","Sun Life Stadium","Miami, FL ","NYJ","MIA",37,24,70220
"400554436","December 21, 2014","1:00 PM ET","MetLife Stadium","East Rutherford, NJ ","NE","NYJ",17,16,78160
"400554437","December 28, 2014","1:00 PM ET","TCF Bank Stadium","Minneapolis, MN ","CHI","MIN",9,13,52364
"400554438","December 28, 2014","1:00 PM ET","Gillette Stadium","Foxboro, MA ","BUF","NE",17,9,68756
"400554439","December 21, 2014","4:05 PM ET","Edward Jones Dome","Saint Louis, MO ","NYG","STL",37,27,55851
"400554440","December 28, 2014","1:00 PM ET","MetLife Stadium","East Rutherford, NJ ","PHI","NYG",34,26,79150
"400554441","December 28, 2014","8:30 PM ET","Heinz Field","Pittsburgh, PA ","CIN","PIT",17,27,64697
"400554442","December 21, 2014","4:25 PM ET","O.co Coliseum","Oakland, CA ","BUF","OAK",24,26,53436
"400554443","December 28, 2014","1:00 PM ET","Raymond James Stadium","Tampa, FL ","NO","TB",23,20,59952
"400554444","December 21, 2014","4:25 PM ET","AT&T Stadium","Arlington, TX ","IND","DAL",7,42,91899
"400554445","December 28, 2014","4:25 PM ET","Sports Authority Field at Mile High","Denver, CO ","OAK","DEN",14,47,76929
"400554446","December 28, 2014","4:25 PM ET","Levi's Stadium","Santa Clara, CA ","ARI","SF",17,20,70699
"400554447","December 21, 2014","8:30 PM ET","U of Phoenix Stadium","Glendale, AZ ","SEA","ARI",35,6,63806
"400554448","December 28, 2014","4:25 PM ET","CenturyLink Field","Seattle, WA ","STL","SEA",6,20,68453
"400554449","December 22, 2014","8:30 PM ET","Paul Brown Stadium","Cincinnati, OH ","DEN","CIN",28,37,66107
"400607990","November 24, 2014","7:00 PM ET","Ford Field","Detroit, MI ","NYJ","BUF",3,38,56044
